regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,25822,3238916,905967
Niterói,20812,292082,124013
São Gonçalo,4085,450076,109147
Campos Dos Goytacazes,1804,258549,42695
Nova Friburgo,1614,101787,27723
Duque De Caxias,1491,453177,66049
Nova Iguaçu,1265,420248,60381
Cabo Frio,915,115197,20715
Maricá,703,105428,59401
Itaboraí,690,124891,17737
Volta Redonda,680,160396,41402
São João De Meriti,659,252282,29380
Barra Mansa,549,93681,25059
Magé,484,139536,19800
Macaé,455,114597,28299
Angra Dos Reis,436,90029,11832
Araruama,433,71261,8940
Belford Roxo,432,233136,21103
Rio Das Ostras,411,64968,12491
Cachoeiras De Macacu,332,31639,4590
Nilópolis,331,94229,11692
Petrópolis,311,157358,38668
Saquarema,299,51468,6701
Paraty,293,22451,4418
Teresópolis,290,85429,13719
Mesquita,271,96039,11870
Cordeiro,262,12451,1313
Rio Bonito,237,32863,5014
São Pedro Da Aldeia,236,49470,6596
Armação Dos Búzios,226,23063,3920
Barra Do Piraí,198,46558,7917
Valença,193,37021,5396
Bom Jesus Do Itabapoana,183,21527,3360
Cantagalo,177,11201,1378
Miguel Pereira,169,16985,4780
Mangaratiba,161,26985,2556
Itaguaí,154,65174,6823
Resende,150,67289,5864
Seropédica,148,40505,5485
Queimados,146,72007,8793
Três Rios,144,42570,6416
Bom Jardim,143,14753,1711
Iguaba Grande,101,19455,1911
São Fidélis,101,22276,1608
Casimiro De Abreu,99,23707,4642
Itaperuna,98,53372,5044
Paraíba Do Sul,95,23050,3773
Santo Antônio De Pádua,93,23098,2887
Paty Do Alferes,89,17090,6650
Guapimirim,88,30417,3044
Japeri,87,51894,10906
Paracambi,84,24228,7271
Natividade,83,8996,1126
Silva Jardim,77,13695,1804
Miracema,72,15936,2761
Piraí,69,16450,2083
Arraial Do Cabo,66,22383,4582
Tanguá,60,18860,2952
São João Da Barra,59,28262,12975
Pinheiral,59,13179,2728
Rio Claro,59,10645,1505
Vassouras,57,20766,6124
Duas Barras,56,7187,685
Carmo,52,10486,3306
Mendes,50,10919,3589
Macuco,47,5431,396
Conceição De Macabu,46,12371,3117
Sumidouro,45,10163,1357
Cambuci,45,9258,869
São Francisco De Itabapoana,43,26570,2971
Itatiaia,40,18177,2477
Sapucaia,36,11595,2335
Quatis,36,7953,1037
Italva,31,8281,771
Quissamã,30,13485,2311
Itaocara,29,14797,1012
Rio Das Flores,26,5955,969
Engenheiro Paulo De Frontin,25,8231,1614
Cardoso Moreira,25,8583,1091
Porciúncula,24,9569,1550
Porto Real,23,12814,1789
Trajano De Moraes,23,6568,686
São José Do Vale Do Rio Preto,19,11710,1240
São Sebastião Do Alto,18,6000,295
Santa Maria Madalena,17,6486,887
Laje Do Muriaé,16,5197,1025
Aperibé,14,7653,345
Comendador Levy Gasparian,13,6142,926
Varre-Sai,13,6044,902
Areal,11,7000,1145
Carapebus,10,9252,3549
São José De Ubá,5,5640,810
