data,Candidato,seguidores
2026-07-13,Tarcísio Motta,301613
2026-07-13,Talíria Petrone,484500
2026-07-13,Chico Alencar,299321
2026-07-13,Glauber Braga,946712
2026-07-13,Henrique Vieira,1498394
2026-07-13,Renata Souza,202117
2026-07-13,Flávio Serafini,168606
2026-07-13,Dani Monteiro,68368
2026-07-13,Mônica Francisco,43538
2026-07-13,Benny Briolly,162311
2026-07-13,Josemar Carvalho,61240
2026-07-20,Tarcísio Motta,302480
2026-07-20,Talíria Petrone,484500
2026-07-20,Chico Alencar,299321
2026-07-20,Glauber Braga,949413
2026-07-20,Henrique Vieira,1498394
2026-07-20,Renata Souza,202117
2026-07-20,Flávio Serafini,168650
2026-07-20,Dani Monteiro,68368
2026-07-20,Mônica Francisco,43538
2026-07-20,Benny Briolly,162311
2026-07-20,Josemar Carvalho,61790
2026-07-20,Yuri Moura,61735
